cycle	time	transfer	stall	vld	rdy	bp	sop	eop	pd
5	60ns	1	0	1	1	0	0	0	24'h007000
6	70ns	1	0	1	1	0	0	0	24'h407010
7	80ns	1	0	1	1	0	0	0	24'h807020
9	100ns	1	0	1	1	0	0	0	24'hc07030
11	120ns	1	0	1	1	0	0	0	24'h017001
13	140ns	1	0	1	1	0	0	0	24'h417011
14	150ns	1	0	1	1	0	0	0	24'h817021
15	160ns	1	0	1	1	0	0	0	24'hc17031
